"Name";"CompanyName"
"Avanade.AzureStorage";"cspeers"
"Avanade.AzureVault";"cspeers"
"Avanade.CoolFunctions";"cspeers"
"Avanade.KuduTools";"cspeers"
"Avanade.SecureString";"cspeers"
"Avanti.PowerShellSDK";"adamstirtan"
"AVDManagementFramework";"WillyMoselhy"
"AvroCmdlets";"CData"
"AvroTools";"Yaniv.Ru"
"AVSHostConnectorModule";"dotan2401"
"Await";"LeeHolmes"
"awp";"bentaylor"
"AWS.ImageBuilder.DocumentGenerator";"javydekoning"
"AWS.SAML";"eelkram"
"AWS.Tools.AccessAnalyzer";"aws-dotnet-sdk-team"
"AWS.Tools.Account";"aws-dotnet-sdk-team"
"AWS.Tools.ACMPCA";"aws-dotnet-sdk-team"
"AWS.Tools.AlexaForBusiness";"aws-dotnet-sdk-team"
"AWS.Tools.Amplify";"aws-dotnet-sdk-team"
"AWS.Tools.AmplifyBackend";"aws-dotnet-sdk-team"
"AWS.Tools.AmplifyUIBuilder";"aws-dotnet-sdk-team"
"AWS.Tools.APIGateway";"aws-dotnet-sdk-team"
"AWS.Tools.ApiGatewayManagementApi";"aws-dotnet-sdk-team"
"AWS.Tools.ApiGatewayV2";"aws-dotnet-sdk-team"
"AWS.Tools.AppConfig";"aws-dotnet-sdk-team"
"AWS.Tools.AppConfigData";"aws-dotnet-sdk-team"
"AWS.Tools.Appflow";"aws-dotnet-sdk-team"
"AWS.Tools.AppIntegrationsService";"aws-dotnet-sdk-team"
"AWS.Tools.ApplicationAutoScaling";"aws-dotnet-sdk-team"
"AWS.Tools.ApplicationCostProfiler";"aws-dotnet-sdk-team"
"AWS.Tools.ApplicationDiscoveryService";"aws-dotnet-sdk-team"
"AWS.Tools.ApplicationInsights";"aws-dotnet-sdk-team"
"AWS.Tools.AppMesh";"aws-dotnet-sdk-team"
"AWS.Tools.AppRegistry";"aws-dotnet-sdk-team"
"AWS.Tools.AppRunner";"aws-dotnet-sdk-team"
"AWS.Tools.AppStream";"aws-dotnet-sdk-team"
"AWS.Tools.AppSync";"aws-dotnet-sdk-team"
"AWS.Tools.Athena";"aws-dotnet-sdk-team"
"AWS.Tools.AuditManager";"aws-dotnet-sdk-team"
"AWS.Tools.AugmentedAIRuntime";"aws-dotnet-sdk-team"
"AWS.Tools.AutoScaling";"aws-dotnet-sdk-team"
"AWS.Tools.AutoScalingPlans";"aws-dotnet-sdk-team"
"AWS.Tools.AWSHealth";"aws-dotnet-sdk-team"
"AWS.Tools.AWSMarketplaceCommerceAnalytics";"aws-dotnet-sdk-team"
"AWS.Tools.AWSMarketplaceMetering";"aws-dotnet-sdk-team"
"AWS.Tools.AWSSupport";"aws-dotnet-sdk-team"
"AWS.Tools.Backup";"aws-dotnet-sdk-team"
"AWS.Tools.BackupGateway";"aws-dotnet-sdk-team"
"AWS.Tools.BackupStorage";"aws-dotnet-sdk-team"
"AWS.Tools.Batch";"aws-dotnet-sdk-team"
"AWS.Tools.BillingConductor";"aws-dotnet-sdk-team"
"AWS.Tools.Braket";"aws-dotnet-sdk-team"
"AWS.Tools.Budgets";"aws-dotnet-sdk-team"
"AWS.Tools.CertificateManager";"aws-dotnet-sdk-team"
"AWS.Tools.Chime";"aws-dotnet-sdk-team"
"AWS.Tools.ChimeSDKIdentity";"aws-dotnet-sdk-team"
"AWS.Tools.ChimeSDKMediaPipelines";"aws-dotnet-sdk-team"
"AWS.Tools.ChimeSDKMeetings";"aws-dotnet-sdk-team"
"AWS.Tools.ChimeSDKMessaging";"aws-dotnet-sdk-team"
"AWS.Tools.Cloud9";"aws-dotnet-sdk-team"
"AWS.Tools.CloudControlApi";"aws-dotnet-sdk-team"
"AWS.Tools.CloudDirectory";"aws-dotnet-sdk-team"
"AWS.Tools.CloudFormation";"aws-dotnet-sdk-team"
"AWS.Tools.CloudFront";"aws-dotnet-sdk-team"
"AWS.Tools.CloudHSMV2";"aws-dotnet-sdk-team"
"AWS.Tools.CloudSearch";"aws-dotnet-sdk-team"
"AWS.Tools.CloudSearchDomain";"aws-dotnet-sdk-team"
"AWS.Tools.CloudTrail";"aws-dotnet-sdk-team"
"AWS.Tools.CloudWatch";"aws-dotnet-sdk-team"
"AWS.Tools.CloudWatchEvidently";"aws-dotnet-sdk-team"
"AWS.Tools.CloudWatchLogs";"aws-dotnet-sdk-team"
"AWS.Tools.CloudWatchRUM";"aws-dotnet-sdk-team"
"AWS.Tools.CodeArtifact";"aws-dotnet-sdk-team"
